PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GUYT_50218	GUYT_50218_SEL	GSM151325.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50219	GUYT_50219_SEL	GSM151326.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50221	GUYT_50221_SEL	GSM151327.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50223	GUYT_50223_SEL	GSM151328.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50225	GUYT_50225_SEL	GSM151329.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50228	GUYT_50228_SEL	GSM151330.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50230	GUYT_50230_SEL	GSM151331.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50233	GUYT_50233_SEL	GSM151332.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50235	GUYT_50235_SEL	GSM151333.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50236	GUYT_50236_SEL	GSM151334.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50237	GUYT_50237_SEL	GSM151335.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50238	GUYT_50238_SEL	GSM151336.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50239	GUYT_50239_SEL	GSM151337.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50243	GUYT_50243_SEL	GSM151338.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50246	GUYT_50246_SEL	GSM151339.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50247	GUYT_50247_SEL	GSM151340.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50248	GUYT_50248_SEL	GSM151341.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50251	GUYT_50251_SEL	GSM151342.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50252	GUYT_50252_SEL	GSM151343.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50254	GUYT_50254_SEL	GSM151344.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50257	GUYT_50257_SEL	GSM151345.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT2_50261	GUYT2_50261_SEL	GSM232194.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50262	GUYT2_50262_SEL	GSM232195.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50263	GUYT2_50263_SEL	GSM232196.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50264	GUYT2_50264_SEL	GSM232197.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50265	GUYT2_50265_SEL	GSM232198.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50266	GUYT2_50266_SEL	GSM232199.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50267	GUYT2_50267_SEL	GSM232200.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50269	GUYT2_50269_SEL	GSM232201.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50270	GUYT2_50270_SEL	GSM232202.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50271	GUYT2_50271_SEL	GSM232203.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50273	GUYT2_50273_SEL	GSM232204.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50282	GUYT2_50282_SEL	GSM232205.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50284	GUYT2_50284_SEL	GSM232206.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50287	GUYT2_50287_SEL	GSM232207.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50290	GUYT2_50290_SEL	GSM232208.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50291	GUYT2_50291_SEL	GSM232209.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50293	GUYT2_50293_SEL	GSM232210.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50294	GUYT2_50294_SEL	GSM232211.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50296	GUYT2_50296_SEL	GSM232212.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50298	GUYT2_50298_SEL	GSM232213.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50299	GUYT2_50299_SEL	GSM232214.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50300	GUYT2_50300_SEL	GSM232215.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50301	GUYT2_50301_SEL	GSM232216.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50302	GUYT2_50302_SEL	GSM232217.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50305	GUYT2_50305_SEL	GSM232218.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50307	GUYT2_50307_SEL	GSM232219.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50308	GUYT2_50308_SEL	GSM232220.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50313	GUYT2_50313_SEL	GSM232221.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50316	GUYT2_50316_SEL	GSM232222.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50317	GUYT2_50317_SEL	GSM232223.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50318	GUYT2_50318_SEL	GSM232224.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50319	GUYT2_50319_SEL	GSM232225.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50320	GUYT2_50320_SEL	GSM232226.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50321	GUYT2_50321_SEL	GSM232227.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50322	GUYT2_50322_SEL	GSM232228.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50326	GUYT2_50326_SEL	GSM232229.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50327	GUYT2_50327_SEL	GSM232230.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50328	GUYT2_50328_SEL	GSM232231.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50330	GUYT2_50330_SEL	GSM232232.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50333	GUYT2_50333_SEL	GSM232233.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50335	GUYT2_50335_SEL	GSM232234.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50336	GUYT2_50336_SEL	GSM232235.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50337	GUYT2_50337_SEL	GSM232236.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50338	GUYT2_50338_SEL	GSM232237.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50339	GUYT2_50339_SEL	GSM232238.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50341	GUYT2_50341_SEL	GSM232239.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50344	GUYT2_50344_SEL	GSM232240.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50345	GUYT2_50345_SEL	GSM232241.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50349	GUYT2_50349_SEL	GSM232242.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50353	GUYT2_50353_SEL	GSM232243.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50354	GUYT2_50354_SEL	GSM232244.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50356	GUYT2_50356_SEL	GSM232245.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50357	GUYT2_50357_SEL	GSM232246.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50361	GUYT2_50361_SEL	GSM232247.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50362	GUYT2_50362_SEL	GSM232248.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50366	GUYT2_50366_SEL	GSM232249.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50368	GUYT2_50368_SEL	GSM232250.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50369	GUYT2_50369_SEL	GSM232251.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50373	GUYT2_50373_SEL	GSM232252.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50374	GUYT2_50374_SEL	GSM232253.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50377	GUYT2_50377_SEL	GSM232254.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50378	GUYT2_50378_SEL	GSM232255.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50380	GUYT2_50380_SEL	GSM232256.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50382	GUYT2_50382_SEL	GSM232257.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50383	GUYT2_50383_SEL	GSM232258.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50384	GUYT2_50384_SEL	GSM232259.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50385	GUYT2_50385_SEL	GSM232260.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50389	GUYT2_50389_SEL	GSM232261.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50391	GUYT2_50391_SEL	GSM232262.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50395	GUYT2_50395_SEL	GSM232263.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50398	GUYT2_50398_SEL	GSM232264.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50400	GUYT2_50400_SEL	GSM232265.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50401	GUYT2_50401_SEL	GSM232266.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50402	GUYT2_50402_SEL	GSM232267.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50403	GUYT2_50403_SEL	GSM232268.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50404	GUYT2_50404_SEL	GSM232269.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
GUYT2_50405	GUYT2_50405_SEL	GSM232270.CEL	U133 Plus 2.0	Loi_plier-mm_GSE9195_GPL96.Rda	Plier Normalized
KIT_103B41	KIT_103B41_SEL	GSM151012.CEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_104B91	KIT_104B91_SEL	gsm65321.cel	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_112B55	KIT_112B55_SEL	GSM151013.CEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_114B68	KIT_114B68_SEL	gsm65330.cel	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_130B92	KIT_130B92_SEL	GSM151014.CEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_131B79	KIT_131B79_SEL	gsm65335.cel	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_135B40	KIT_135B40_SEL	gsm65336.cel	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_138B34	KIT_138B34_SEL	gsm65331.cel	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_139B03	KIT_139B03_SEL	gsm65337.cel	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_147B19	KIT_147B19_SEL	GSM151015.CEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_148B49	KIT_148B49_SEL	GSM151016.CEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_14B98	KIT_14B98_SEL	GSM151017.CEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_150B81	KIT_150B81_SEL	GSM151018.CEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
KIT_154B42	KIT_154B42_SEL	GSM151019.CEL	U133A	Loi_plier-mm_GSEA6532_GPL96_T.Rda	Plier Normalized
